iteration,energy
0,-822237690384726323450095643521974272.000000
1,-822237690384726323450095643521974272.000000
2,-822237690384726323450095643521974272.000000
3,-822237690384726323450095643521974272.000000
4,-822237690384726323450095643521974272.000000
5,-822237690384726323450095643521974272.000000
6,-822237690384726323450095643521974272.000000
7,-822237690384726323450095643521974272.000000
8,-822237690384726323450095643521974272.000000
9,-822237690384726323450095643521974272.000000
10,-822237690384726323450095643521974272.000000
11,-822237690384726323450095643521974272.000000
12,-822237690384726323450095643521974272.000000
13,-822237690384726323450095643521974272.000000
14,-822237690384726323450095643521974272.000000
15,-822237690384726323450095643521974272.000000
16,-822237690384726323450095643521974272.000000
17,-822237690384726323450095643521974272.000000
18,-822237690384726323450095643521974272.000000
19,-822237690384726323450095643521974272.000000
20,-822237690384726323450095643521974272.000000
21,-822237690384726323450095643521974272.000000
22,-822237690384726323450095643521974272.000000
23,-822237690384726323450095643521974272.000000
24,-822237690384726323450095643521974272.000000
25,-822237690384726323450095643521974272.000000
26,-822237690384726323450095643521974272.000000
27,-822237690384726323450095643521974272.000000
28,-822237690384726323450095643521974272.000000
29,-822237690384726323450095643521974272.000000
30,-822237690384726323450095643521974272.000000
31,-822237690384726323450095643521974272.000000
32,-822237690384726323450095643521974272.000000
33,-822237690384726323450095643521974272.000000
34,-822237690384726323450095643521974272.000000
35,-822237690384726323450095643521974272.000000
36,-822237690384726323450095643521974272.000000
37,-822237690384726323450095643521974272.000000
38,-822237690384726323450095643521974272.000000
39,-822237690384726323450095643521974272.000000
40,-822237690384726323450095643521974272.000000
41,-822237690384726323450095643521974272.000000
42,-822237690384726323450095643521974272.000000
43,-822237690384726323450095643521974272.000000
44,-822237690384726323450095643521974272.000000
45,-822237690384726323450095643521974272.000000
46,-822237690384726323450095643521974272.000000
47,-822237690384726323450095643521974272.000000
48,-822237690384726323450095643521974272.000000
49,-822237690384726323450095643521974272.000000
50,-822237690384726323450095643521974272.000000
51,-822237690384726323450095643521974272.000000
52,-822237690384726323450095643521974272.000000
53,-822237690384726323450095643521974272.000000
54,-822237690384726323450095643521974272.000000
55,-822237690384726323450095643521974272.000000
56,-822237690384726323450095643521974272.000000
57,-822237690384726323450095643521974272.000000
58,-822237690384726323450095643521974272.000000
59,-822237690384726323450095643521974272.000000
60,-822237690384726323450095643521974272.000000
61,-822237690384726323450095643521974272.000000
62,-822237690384726323450095643521974272.000000
63,-822237690384726323450095643521974272.000000
64,-822237690384726323450095643521974272.000000
65,-822237690384726323450095643521974272.000000
66,-822237690384726323450095643521974272.000000
67,-822237690384726323450095643521974272.000000
68,-822237690384726323450095643521974272.000000
69,-822237690384726323450095643521974272.000000
70,-822237690384726323450095643521974272.000000
71,-822237690384726323450095643521974272.000000
72,-822237690384726323450095643521974272.000000
73,-822237690384726323450095643521974272.000000
74,-822237690384726323450095643521974272.000000
75,-822237690384726323450095643521974272.000000
76,-822237690384726323450095643521974272.000000
77,-822237690384726323450095643521974272.000000
78,-822237690384726323450095643521974272.000000
79,-822237690384726323450095643521974272.000000
80,-822237690384726323450095643521974272.000000
81,-822237690384726323450095643521974272.000000
82,-822237690384726323450095643521974272.000000
83,-822237690384726323450095643521974272.000000
84,-822237690384726323450095643521974272.000000
85,-822237690384726323450095643521974272.000000
86,-822237690384726323450095643521974272.000000
87,-822237690384726323450095643521974272.000000
88,-822237690384726323450095643521974272.000000
89,-822237690384726323450095643521974272.000000
90,-822237690384726323450095643521974272.000000
91,-822237690384726323450095643521974272.000000
92,-822237690384726323450095643521974272.000000
93,-822237690384726323450095643521974272.000000
94,-822237690384726323450095643521974272.000000
95,-822237690384726323450095643521974272.000000
96,-822237690384726323450095643521974272.000000
97,-822237690384726323450095643521974272.000000
98,-822237690384726323450095643521974272.000000
99,-822237690384726323450095643521974272.000000
100,-822237690384726323450095643521974272.000000
101,-822237690384726323450095643521974272.000000
102,-822237690384726323450095643521974272.000000
103,-822237690384726323450095643521974272.000000
104,-822237690384726323450095643521974272.000000
105,-822237690384726323450095643521974272.000000
106,-822237690384726323450095643521974272.000000
107,-822237690384726323450095643521974272.000000
108,-822237690384726323450095643521974272.000000
109,-822237690384726323450095643521974272.000000
110,-822237690384726323450095643521974272.000000
111,-822237690384726323450095643521974272.000000
112,-822237690384726323450095643521974272.000000
113,-822237690384726323450095643521974272.000000
114,-822237690384726323450095643521974272.000000
115,-822237690384726323450095643521974272.000000
116,-822237690384726323450095643521974272.000000
117,-822237690384726323450095643521974272.000000
118,-822237690384726323450095643521974272.000000
119,-822237690384726323450095643521974272.000000
120,-822237690384726323450095643521974272.000000
121,-822237690384726323450095643521974272.000000
122,-822237690384726323450095643521974272.000000
